fixture_id,team,player_id,player_name,position,grid,is_starter
1030313,Paris Saint Germain,746.0,Marco Asensio,Unknown,0-0,1
1030313,Paris Saint Germain,174565.0,H. Ekitike,Unknown,0-0,1
1030313,Paris Saint Germain,930.0,Carlos Soler,Unknown,0-0,0
1030313,Paris Saint Germain,409217.0,Serif Nhaga,Unknown,0-0,0
1030313,Paris Saint Germain,9.0,A. Hakimi,Unknown,0-0,0
1030313,Paris Saint Germain,328.0,Fabián Ruiz,Unknown,0-0,0
1030313,Paris Saint Germain,33.0,L. Hernández,Unknown,0-0,0
1030313,Paris Saint Germain,273.0,M. Verratti,Unknown,0-0,0
1030313,Paris Saint Germain,338856.0,N. Lemina,Unknown,0-0,0
1030313,Paris Saint Germain,311083.0,C. Ndour,Unknown,0-0,0
1030313,Paris Saint Germain,262.0,P. Kimpembe,Unknown,0-0,0
1030313,Paris Saint Germain,731.0,K. Navas,Unknown,0-0,0
1030313,Paris Saint Germain,927.0,Lee Kang-In,Unknown,0-0,0
1030313,Paris Saint Germain,258.0,Juan Bernat,Unknown,0-0,0
1030313,Paris Saint Germain,276.0,Neymar,Unknown,0-0,0
1030313,Paris Saint Germain,386275.0,I. Housni,Unknown,0-0,0
1030313,Paris Saint Germain,513.0,Renato Sanches,Unknown,0-0,0
1030313,Paris Saint Germain,386287.0,E. Mbappé,Unknown,0-0,0
1030313,Paris Saint Germain,349189.0,L. Mouquet,Unknown,0-0,0
1030313,Cerezo Osaka,34489.0,Yang Han-Been,Unknown,0-0,1
1030313,Cerezo Osaka,33160.0,M. Jonjić,Unknown,0-0,1
1030313,Cerezo Osaka,33104.0,R. Yamanaka,Unknown,0-0,1
1030313,Cerezo Osaka,33164.0,R. Matsuda,Unknown,0-0,1
1030313,Cerezo Osaka,33862.0,K. Toriumi,Unknown,0-0,1
1030313,Cerezo Osaka,38777.0,J. Croux,Unknown,0-0,1
1030313,Cerezo Osaka,33710.0,T. Suzuki,Unknown,0-0,1
1030313,Cerezo Osaka,33940.0,H. Kida,Unknown,0-0,1
1030313,Cerezo Osaka,33684.0,S. Uejo,Unknown,0-0,1
1030313,Cerezo Osaka,9550.0,Léo Ceará,Unknown,0-0,1
1030313,Cerezo Osaka,9617.0,Capixaba,Unknown,0-0,1
1030313,Cerezo Osaka,32980.0,R. Shindo,Unknown,0-0,0
1030313,Cerezo Osaka,356714.0,N. Ishiwatari,Unknown,0-0,0
1030313,Cerezo Osaka,33159.0,K. Funaki,Unknown,0-0,0
1030313,Cerezo Osaka,109274.0,H. Okuda,Unknown,0-0,0
1030313,Cerezo Osaka,33166.0,T. Yamashita,Unknown,0-0,0
1030313,Cerezo Osaka,288073.0,S. Kitano,Unknown,0-0,0
1030313,Cerezo Osaka,33559.0,K. Shimizu,Unknown,0-0,0
1030313,Cerezo Osaka,1991.0,S. Kagawa,Unknown,0-0,0
1030313,Cerezo Osaka,325727.0,H. Arai,Unknown,0-0,0
1030313,Cerezo Osaka,199793.0,S. Maikuma,Unknown,0-0,0
1030313,Cerezo Osaka,109207.0,R. Watanabe,Unknown,0-0,0
1030313,Cerezo Osaka,33163.0,Y. Maruhashi,Unknown,0-0,0
1030313,Cerezo Osaka,306599.0,K. Maki,Unknown,0-0,0
1030313,Cerezo Osaka,369100.0,S. Kinoshita,Unknown,0-0,0
1030322,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1
1030322,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1
1030322,Paris Saint Germain,257.0,Marquinhos,D,2:3,1
1030322,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1
1030322,Paris Saint Germain,33.0,L. Hernández,D,2:1,1
1030322,Paris Saint Germain,51494.0,M. Ugarte,M,3:3,1
1030322,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:2,1
1030322,Paris Saint Germain,328.0,Fabián Ruiz,M,3:1,1
1030322,Paris Saint Germain,128384.0,Vitinha,F,4:3,1
1030322,Paris Saint Germain,746.0,Marco Asensio,F,4:2,1
1030322,Paris Saint Germain,930.0,Carlos Soler,F,4:1,1
1030322,Paris Saint Germain,263.0,L. Kurzawa,D,0-0,0
1030322,Paris Saint Germain,311083.0,C. Ndour,M,0-0,0
1030322,Paris Saint Germain,174565.0,H. Ekitike,F,0-0,0
1030322,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0
1030322,Paris Saint Germain,310196.0,Ismaël Gharbi,M,0-0,0
1030322,Paris Saint Germain,349189.0,L. Mouquet,Unknown,0-0,0
1030322,Paris Saint Germain,409217.0,Serif Nhaga,D,0-0,0
1030322,Paris Saint Germain,731.0,K. Navas,G,0-0,0
1030322,Paris Saint Germain,276.0,Neymar,F,0-0,0
1030322,Paris Saint Germain,262.0,P. Kimpembe,D,0-0,0
1030322,Paris Saint Germain,386287.0,E. Mbappé,Unknown,0-0,0
1030322,Paris Saint Germain,386275.0,I. Housni,F,0-0,0
1030322,Paris Saint Germain,513.0,Renato Sanches,M,0-0,0
1030322,Paris Saint Germain,338856.0,N. Lemina,Unknown,0-0,0
1030322,Paris Saint Germain,927.0,Lee Kang-In,M,0-0,0
1030322,Paris Saint Germain,273.0,M. Verratti,M,0-0,0
1030322,Paris Saint Germain,258.0,Juan Bernat,D,0-0,0
1030322,Inter,162445.0,F. Stanković,G,1:1,1
1030322,Inter,887.0,M. Darmian,D,2:3,1
1030322,Inter,1836.0,F. Acerbi,D,2:2,1
1030322,Inter,31009.0,A. Bastoni,D,2:1,1
1030322,Inter,226.0,D. Dumfries,M,3:5,1
1030322,Inter,30558.0,N. Barella,M,3:4,1
1030322,Inter,1640.0,H. Çalhanoğlu,M,3:3,1
1030322,Inter,1457.0,H. Mkhitaryan,M,3:2,1
1030322,Inter,31010.0,F. Dimarco,M,3:1,1
1030322,Inter,21509.0,M. Thuram,F,4:2,1
1030322,Inter,217.0,L. Martínez,F,4:1,1
1030322,Inter,1854.0,J. Correa,F,0-0,0
1030322,Inter,866.0,J. Cuadrado,M,0-0,0
1030322,Inter,31173.0,D. Frattesi,M,0-0,0
1030322,Inter,30422.0,R. Gosens,D,0-0,0
1030322,Inter,275776.0,K. Asllani,M,0-0,0
1030322,Inter,194.0,S. de Vrij,D,0-0,0
1030322,Inter,24953.0,Y. Aurel Bisseck,D,0-0,0
1030322,Inter,215.0,S. Esposito,F,0-0,0
1030322,Inter,30535.0,S. Sensi,M,0-0,0
1030322,Inter,383001.0,G. Stabile,D,0-0,0
1030322,Inter,25353.0,V. Lazaro,M,0-0,0
1030322,Inter,322630.0,G. Fabbian,M,0-0,0
1030322,Inter,342230.0,A. Stanković,M,0-0,0
1030322,Inter,91488.0,R. Di Gennaro,G,0-0,0
1030322,Inter,336707.0,A. Calligaris,G,0-0,0
1040930,Paris Saint Germain,9.0,A. Hakimi,D,1:1,1
1040930,Paris Saint Germain,381.0,Danilo Pereira,D,2:4,1
1040930,Paris Saint Germain,33.0,L. Hernández,D,2:3,1
1040930,Paris Saint Germain,263.0,L. Kurzawa,D,2:2,1
1040930,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,2:1,1
1040930,Paris Saint Germain,51494.0,M. Ugarte,M,3:3,1
1040930,Paris Saint Germain,328.0,Fabián Ruiz,M,3:2,1
1040930,Paris Saint Germain,927.0,Lee Kang-In,F,3:1,1
1040930,Paris Saint Germain,746.0,Marco Asensio,F,4:3,1
1040930,Paris Saint Germain,310196.0,Ismaël Gharbi,F,4:2,1
1040930,Paris Saint Germain,20568.0,A. Letellier,G,4:1,1
1040930,Paris Saint Germain,731.0,K. Navas,G,0-0,0
1040930,Paris Saint Germain,128384.0,Vitinha,M,0-0,0
1040930,Paris Saint Germain,513.0,Renato Sanches,M,0-0,0
1040930,Paris Saint Germain,311083.0,C. Ndour,M,0-0,0
1040930,Paris Saint Germain,257.0,Marquinhos,D,0-0,0
1040930,Paris Saint Germain,198.0,M. Škriniar,D,0-0,0
1040930,Paris Saint Germain,409217.0,Serif Nhaga,D,0-0,0
1040930,Paris Saint Germain,174565.0,H. Ekitike,F,0-0,0
1040930,Paris Saint Germain,386287.0,E. Mbappé,Unknown,0-0,0
1040930,Paris Saint Germain,338856.0,N. Lemina,Unknown,0-0,0
1040930,Paris Saint Germain,278.0,K. Mbappé,F,0-0,0
1040930,Paris Saint Germain,386275.0,I. Housni,F,0-0,0
1040930,Paris Saint Germain,273.0,M. Verratti,M,0-0,0
1040930,Paris Saint Germain,162067.0,T. Pembélé,D,0-0,0
1040930,Paris Saint Germain,267.0,J. Draxler,M,0-0,0
1040930,LE Havre,24011.0,A. Desmas,G,1:1,1
1040930,LE Havre,2336.0,L. Négo,D,2:5,1
1040930,LE Havre,20576.0,Y. Salmier,D,2:4,1
1040930,LE Havre,174927.0,A. Sangante,D,2:3,1
1040930,LE Havre,64255.0,G. Lloris,D,2:2,1
1040930,LE Havre,20836.0,C. Opéri,D,2:1,1
1040930,LE Havre,174915.0,J. Casimir,M,3:4,1
1040930,LE Havre,22009.0,N. Mbemba,M,3:3,1
1040930,LE Havre,364093.0,S. Ebonog,M,3:2,1
1040930,LE Havre,156465.0,I. Soumaré,M,3:1,1
1040930,LE Havre,8681.0,N. Alioui,F,4:1,1
1040930,LE Havre,162443.0,E. Kinkoue,Unknown,0-0,0
1040930,LE Havre,284071.0,O. Targhalline,Unknown,0-0,0
1040930,LE Havre,646.0,M. Gorgelin,Unknown,0-0,0
1040930,LE Havre,289304.0,A. Joujou,Unknown,0-0,0
1040930,LE Havre,1212.0,D. Kuzyaev,Unknown,0-0,0
1040930,LE Havre,128342.0,R. Ndiaye,Unknown,0-0,0
1040930,LE Havre,339633.0,A. Logbo,Unknown,0-0,0
1040930,LE Havre,326148.0,C. Doumbia,Unknown,0-0,0
1040930,LE Havre,374503.0,Y. Gomis,Unknown,0-0,0
1040930,LE Havre,24201.0,A. Confais,Unknown,0-0,0
1040930,LE Havre,158516.0,K. Diawara,Unknown,0-0,0
1040930,LE Havre,392584.0,M. Bentoumi,Unknown,0-0,0
1040930,LE Havre,314232.0,M. Bodmer,Unknown,0-0,0
1040930,LE Havre,343317.0,S. Ngoura,Unknown,0-0,0
1040930,LE Havre,22266.0,S. Grandsir,Unknown,0-0,0
1040930,LE Havre,2707.0,O. El Hajjam,Unknown,0-0,0
1040930,LE Havre,21391.0,Q. Cornette,Unknown,0-0,0
1040930,LE Havre,143830.0,Y. Kitala,Unknown,0-0,0
1040930,LE Havre,277046.0,M. Koné,Unknown,0-0,0
1040930,LE Havre,174937.0,Y. Kechta,Unknown,0-0,0
1040930,LE Havre,158514.0,N. Chadli,Unknown,0-0,0
1044881,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1
1044881,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1
1044881,Paris Saint Germain,381.0,Danilo Pereira,D,2:3,1
1044881,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1
1044881,Paris Saint Germain,33.0,L. Hernández,D,2:1,1
1044881,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1
1044881,Paris Saint Germain,51494.0,M. Ugarte,M,3:2,1
1044881,Paris Saint Germain,128384.0,Vitinha,M,3:1,1
1044881,Paris Saint Germain,927.0,Lee Kang-In,F,4:3,1
1044881,Paris Saint Germain,41585.0,Gonçalo Ramos,F,4:2,1
1044881,Paris Saint Germain,746.0,Marco Asensio,F,4:1,1
1044881,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0
1044881,Paris Saint Germain,328.0,Fabián Ruiz,M,0-0,0
1044881,Paris Saint Germain,174565.0,H. Ekitike,F,0-0,0
1044881,Paris Saint Germain,257.0,Marquinhos,D,0-0,0
1044881,Paris Saint Germain,731.0,K. Navas,G,0-0,0
1044881,Paris Saint Germain,162473.0,Arnau Tenas,G,0-0,0
1044881,Paris Saint Germain,310196.0,Ismaël Gharbi,M,0-0,0
1044881,Paris Saint Germain,311083.0,C. Ndour,M,0-0,0
1044881,Paris Saint Germain,263.0,L. Kurzawa,D,0-0,0
1044881,Lorient,1142.0,Y. Mvogo,G,1:1,1
1044881,Lorient,24245.0,G. Kalulu,D,2:5,1
1044881,Lorient,193501.0,B. Meité,D,2:4,1
1044881,Lorient,20766.0,J. Laporte,D,2:3,1
1044881,Lorient,50030.0,M. Talbi,D,2:2,1
1044881,Lorient,20625.0,V. Le Goff,D,2:1,1
1044881,Lorient,84082.0,R. Faivre,M,3:4,1
1044881,Lorient,20917.0,L. Abergel,M,3:3,1
1044881,Lorient,22171.0,J. Makengo,M,3:2,1
1044881,Lorient,174703.0,T. Le Bris,M,3:1,1
1044881,Lorient,284072.0,B. Dieng,F,4:1,1
1044881,Lorient,39245.0,I. Koné,F,0-0,0
1044881,Lorient,20641.0,J. Ponceau,M,0-0,0
1044881,Lorient,152669.0,D. Yongwa,D,0-0,0
1044881,Lorient,368030.0,E. Kroupi,M,0-0,0
1044881,Lorient,193507.0,D. Sylla,D,0-0,0
1044881,Lorient,276662.0,P. Pagis,F,0-0,0
1044881,Lorient,51146.0,V. Mannone,G,0-0,0
1044881,Lorient,162236.0,F. Mendy,D,0-0,0
1044881,Lorient,1960.0,B. Innocent,M,0-0,0
1044890,Toulouse,325346.0,G. Restes,G,1:1,1
1044890,Toulouse,21997.0,Logan Costa,D,2:3,1
1044890,Toulouse,15793.0,R. Nicolaisen,D,2:2,1
1044890,Toulouse,70476.0,M. Diarra,D,2:1,1
1044890,Toulouse,39229.0,M. Desler,M,3:4,1
1044890,Toulouse,50956.0,C. Cásseres,M,3:3,1
1044890,Toulouse,48491.0,V. Sierro,M,3:2,1
1044890,Toulouse,11421.0,G. Suazo,M,3:1,1
1044890,Toulouse,243.0,Z. Aboukhlal,F,4:2,1
1044890,Toulouse,174724.0,F. Magri,F,4:1,1
1044890,Toulouse,93016.0,T. Dallinga,F,5:1,1
1044890,Toulouse,36928.0,D. Genreau,M,0-0,0
1044890,Toulouse,20867.0,Y. Begraoui,F,0-0,0
1044890,Toulouse,25533.0,N. Schmidt,M,0-0,0
1044890,Toulouse,264383.0,W. Kamanzi,D,0-0,0
1044890,Toulouse,191252.0,M. Bangré,M,0-0,0
1044890,Toulouse,47351.0,Álex Domínguez,G,0-0,0
1044890,Toulouse,129681.0,A. Rouault,D,0-0,0
1044890,Toulouse,163076.0,César Gelabert,M,0-0,0
1044890,Toulouse,371916.0,C. Mawissa Elebi,D,0-0,0
1044890,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1
1044890,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1
1044890,Paris Saint Germain,257.0,Marquinhos,D,2:3,1
1044890,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1
1044890,Paris Saint Germain,33.0,L. Hernández,D,2:1,1
1044890,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1
1044890,Paris Saint Germain,51494.0,M. Ugarte,M,3:2,1
1044890,Paris Saint Germain,328.0,Fabián Ruiz,M,3:1,1
1044890,Paris Saint Germain,128384.0,Vitinha,F,4:3,1
1044890,Paris Saint Germain,41585.0,Gonçalo Ramos,F,4:2,1
1044890,Paris Saint Germain,927.0,Lee Kang-In,F,4:1,1
1044890,Paris Saint Germain,153.0,O. Dembélé,F,0-0,0
1044890,Paris Saint Germain,278.0,K. Mbappé,F,0-0,0
1044890,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0
1044890,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0
1044890,Paris Saint Germain,263.0,L. Kurzawa,D,0-0,0
1044890,Paris Saint Germain,311083.0,C. Ndour,M,0-0,0
1044890,Paris Saint Germain,746.0,Marco Asensio,F,0-0,0
1044890,Paris Saint Germain,174565.0,H. Ekitike,F,0-0,0
1044890,Paris Saint Germain,731.0,K. Navas,G,0-0,0
1044899,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1
1044899,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1
1044899,Paris Saint Germain,257.0,Marquinhos,D,2:3,1
1044899,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1
1044899,Paris Saint Germain,33.0,L. Hernández,D,2:1,1
1044899,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1
1044899,Paris Saint Germain,51494.0,M. Ugarte,M,3:2,1
1044899,Paris Saint Germain,128384.0,Vitinha,M,3:1,1
1044899,Paris Saint Germain,153.0,O. Dembélé,F,4:3,1
1044899,Paris Saint Germain,746.0,Marco Asensio,F,4:2,1
1044899,Paris Saint Germain,278.0,K. Mbappé,F,4:1,1
1044899,Paris Saint Germain,328.0,Fabián Ruiz,M,0-0,0
1044899,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0
1044899,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0
1044899,Paris Saint Germain,162473.0,Arnau Tenas,G,0-0,0
1044899,Paris Saint Germain,310196.0,Ismaël Gharbi,M,0-0,0
