player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly
Stephan El Shaarawy,Roma,Serie A,30,Defender,16,5,709,3,0.0,2.15,1.14,44.6,1.52,80.5,1.14,1.39,0.76,4.94,1.65,0.76,1.39,0.13,0.0,2259,7.696,0.334,0.1875,0.5149,0.4924,1.101,0.6123,0
Luke Shaw,Manchester Utd,Premier League,27,Defender,18,17,1503,1,0.06,0.36,0.18,61.1,1.08,82.2,1.8,1.32,1.74,0.84,0.06,0.84,1.68,0.24,0.0,2260,7.503,0.0714,0.05555555555555555,0.4204,0.9278,1.638,-0.5378,0
Jonjo Shelvey,Newcastle Utd,Premier League,30,Midfielder,3,0,37,0,0.0,0.0,0.0,47.5,0.0,73.1,2.5,0.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,2261,7.366,0.0,0.0,0.3672,0.137,1.75,-1.1853,0
Jonjo Shelvey,Nott'ham Forest,Premier League,30,Midfielder,1,0,35,0,0.0,0.0,0.0,47.5,5.0,79.2,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2262,7.396,0.0,0.0,0.3803,0.3889,0.75,-1.0259,0
Eldor Shomurodov,Spezia,Serie A,27,Forward,2,2,165,0,0.0,1.67,0.0,15.0,1.67,84.4,0.56,0.56,0.56,1.11,0.0,0.56,1.11,0.0,0.0,2263,7.422,0.0,0.0,0.3915,0.9167,0.56,-0.8896,0
Eldor Shomurodov,Roma,Serie A,27,Forward,6,1,119,0,0.0,4.62,2.31,19.2,0.0,75.8,0.77,0.77,0.77,3.08,0.77,1.54,0.77,0.0,0.0,2264,7.379,0.25,0.0,0.423,0.2204,0.77,-0.5062,0
Kaj Sierhuis,Reims,Ligue 1,24,Forward,2,0,19,0,0.0,0.0,0.0,10.0,0.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2265,7.2,0.0,0.0,0.296,0.1056,2.0,-2.0519,1
Vincent Sierro,Toulouse,Ligue 1,27,Midfielder,3,0,41,0,0.0,0.0,0.0,26.0,2.0,59.1,2.0,2.0,14.0,4.0,4.0,2.0,2.0,0.0,0.0,2266,7.296,1.0,0.0,0.5371,0.1519,5.6,0.8825,0
Kiliann Sildillia,Freiburg,Bundesliga,20,Defender,18,17,1445,0,0.12,0.5,0.0,34.6,0.43,71.1,1.61,0.99,0.81,1.24,0.56,0.25,1.74,0.25,0.06,2267,7.339,0.4516,0.0,0.4527,0.892,1.184,-0.1447,0
Andre Silva,RB Leipzig,Bundesliga,27,Forward,20,14,1198,4,0.23,2.93,1.28,19.2,1.65,72.6,0.45,0.15,0.6,3.01,0.9,2.33,1.35,0.08,0.0,2268,7.775,0.299,0.2,0.4982,0.6656,0.405,0.409,0
Bernardo Silva,Manchester City,Premier League,28,Midfielder,20,16,1410,2,0.32,1.08,0.32,52.7,1.46,85.9,1.97,0.64,0.96,2.99,1.34,0.7,0.64,0.13,0.0,2269,7.645,0.4482,0.1,0.5208,0.7833,1.268,0.6841,0
