player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly,z_rating,z_performance_score,z_goals,z_pass_accuracy,z_defensive_impact,anomaly_score,anomaly_type
José María Giménez,Atlético Madrid,La Liga,28,Defender,12,11,1005,0,0.0,1.25,0.36,41.9,0.18,86.1,1.52,1.43,1.43,0.09,0.0,0.36,0.8,0.45,0.0,1553,7.408,0.0,0.0,0.3944,0.9306,1.466,-0.8543,0,-0.2736,-0.8543,-0.5103,0.8091,0.2241,0.5343,Normal
Mariano,Real Madrid,La Liga,29,Forward,5,0,44,0,0.0,6.0,0.0,14.0,2.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1554,7.25,0.0,0.0,0.3575,0.0978,0.8,-1.3034,0,-0.9754,-1.3034,-0.5103,-0.4186,-0.4692,0.7354,Normal
Pablo Marín,Real Sociedad,La Liga,19,Midfielder,7,3,324,0,0.0,1.94,1.11,31.4,1.67,76.4,1.94,1.11,0.28,2.5,1.39,0.56,2.78,0.28,0.0,1555,7.368,0.556,0.0,0.485,0.5143,1.193,0.2484,0,-0.4512,0.2484,-0.5103,0.0694,-0.0601,0.2679,Normal
R?zvan Marin,Empoli,Serie A,26,Midfielder,21,16,1503,2,0.12,1.26,0.42,44.2,1.8,80.6,1.98,0.72,1.2,1.2,0.6,0.78,1.08,0.3,0.0,1556,7.596,0.5,0.0952380952380952,0.5177,0.7952,1.368,0.6464,0,0.5614,0.6464,0.4829,0.3897,0.1221,0.4405,Normal
Guillermo Maripán,Monaco,Ligue 1,28,Defender,18,17,1485,3,0.0,0.73,0.24,43.0,0.12,87.1,1.94,1.64,1.52,0.36,0.06,0.18,0.97,0.12,0.06,1557,7.718,0.1667,0.1666666666666666,0.4891,0.9167,1.724,0.2983,0,1.1033,0.2983,0.9795,0.8854,0.4927,0.7518,Normal
Marlon,Monza,Serie A,27,Defender,17,13,1066,0,0.0,0.25,0.08,54.4,0.08,92.1,1.69,1.27,0.59,0.17,0.0,0.34,1.1,0.25,0.0,1558,7.448,0.0,0.0,0.4076,0.6967,1.234,-0.6936,0,-0.0959,-0.6936,-0.5103,1.2667,-0.0174,0.5168,Normal
Omar Marmoush,Wolfsburg,Bundesliga,24,Forward,19,8,790,3,0.0,2.95,1.02,18.3,0.57,63.4,1.14,0.57,1.02,6.7,1.93,2.27,1.7,0.23,0.0,1559,7.606,0.2881,0.1578947368421052,0.46,0.462,0.933,-0.0559,0,0.6059,-0.0559,0.9795,-0.922,-0.3307,0.5788,Normal
Marquinhos,Arsenal,Premier League,19,Midfielder,1,0,1,0,0.0,0.0,0.0,2.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560,7.334,0.0,0.0,0.3534,0.0111,0.0,-1.3533,0,-0.6023,-1.3533,-0.5103,-0.6703,-1.3019,0.8876,Normal
Marquinhos,Paris S-G,Ligue 1,28,Defender,22,20,1824,2,0.0,0.59,0.2,68.8,0.2,95.5,0.89,0.84,1.18,0.0,0.0,0.39,0.34,0.1,0.0,1561,7.672,0.0,0.0909090909090909,0.4484,0.9212,0.962,-0.1971,0,0.899,-0.1971,0.4829,1.526,-0.3005,0.6811,Normal
Luca Marrone,Monza,Serie A,32,Defender,2,2,135,0,0.0,0.67,0.0,52.0,0.0,92.9,0.0,0.0,1.33,0.0,0.0,1.33,0.67,0.0,0.0,1562,7.464,0.0,0.0,0.4097,0.75,0.399,-0.6681,0,-0.0249,-0.6681,-0.5103,1.3277,-0.8866,0.6835,Normal
Eric Martel,Köln,Bundesliga,20,Midfielder,16,11,1023,0,0.0,1.05,0.26,31.5,0.26,78.6,2.72,1.49,1.14,0.61,0.26,1.32,1.4,0.18,0.0,1563,7.384,0.4262,0.0,0.464,0.7104,1.877,-0.0072,0,-0.3802,-0.0072,-0.5103,0.2372,0.652,0.3574,Normal
Roger Martí,Elche,La Liga,32,Forward,12,8,655,0,0.14,0.82,0.27,16.2,1.37,73.8,0.68,0.14,0.55,0.96,0.41,1.51,2.19,0.27,0.0,1564,7.365,0.4271,0.0,0.454,0.6065,0.479,-0.1289,0,-0.4646,-0.1289,-0.5103,-0.1289,-0.8033,0.4072,Normal
Roger Martí,Cádiz,La Liga,32,Forward,3,2,157,0,0.0,0.59,0.0,17.1,0.0,85.3,1.76,0.0,0.59,1.18,1.18,1.76,4.12,0.0,0.0,1565,7.426,1.0,0.0,0.5934,0.5815,0.881,1.5677,0,-0.1936,1.5677,-0.5103,0.7481,-0.3848,0.6809,Normal
Anthony Martial,Manchester Utd,Premier League,27,Forward,9,6,458,3,0.39,2.16,0.98,21.0,0.98,80.5,0.0,0.2,0.59,1.76,0.78,0.59,0.78,0.0,0.0,1566,7.73,0.4432,0.3333333333333333,0.5815,0.5654,0.237,1.4229,0,1.1566,1.4229,0.9795,0.3821,-1.0552,0.9993,Normal
Aarón Martín,Mainz 05,Bundesliga,25,Defender,17,17,1421,3,0.13,0.82,0.25,38.7,1.33,75.8,2.03,0.76,0.89,1.01,0.57,0.51,1.08,0.06,0.0,1567,7.685,0.5644,0.1764705882352941,0.548,0.9288,1.307,1.0152,0,0.9567,1.0152,0.9795,0.0237,0.0586,0.6067,Normal
Ander Martin,Real Sociedad,La Liga,22,Midfielder,3,0,41,0,0.0,0.0,0.0,24.0,4.0,50.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1568,7.25,1.0,0.0,0.5175,0.1519,1.6,0.6439,0,-0.9754,0.6439,-0.5103,-1.9438,0.3636,0.8874,Normal
Andrés Martín,Rayo Vallecano,La Liga,23,Forward,4,2,133,0,0.0,1.33,1.33,14.0,0.67,41.2,2.0,0.0,0.67,2.67,2.0,0.67,2.67,0.67,0.0,1569,7.172,0.7491,0.0,0.4474,0.3694,1.001,-0.2092,0,-1.3218,-0.2092,-0.5103,-2.6149,-0.2599,0.9832,Normal
Iván Martín,Girona,La Liga,23,Midfielder,9,6,555,2,0.0,1.29,0.48,29.0,0.81,81.1,0.32,0.32,0.81,2.42,0.97,0.32,1.13,0.0,0.0,1570,7.606,0.4008,0.2222222222222222,0.5372,0.6852,0.467,0.8837,0,0.6059,0.8837,0.4829,0.4278,-0.8158,0.6432,Normal
Jonas Martin,Lille,Ligue 1,32,Midfielder,9,1,191,0,0.0,0.48,0.0,77.6,0.48,87.2,3.33,2.38,0.95,0.0,0.0,1.43,3.33,0.95,0.0,1571,7.388,0.0,0.0,0.396,0.2358,2.331,-0.8348,0,-0.3624,-0.8348,-0.5103,0.893,1.1246,0.745,Normal
Martinelli,Arsenal,Premier League,21,Forward,21,21,1726,7,0.1,2.71,0.94,26.8,1.93,72.9,0.89,0.36,0.83,4.27,1.72,1.3,1.3,0.1,0.0,1572,8.066,0.4028,0.3333333333333333,0.5683,0.9132,0.713,1.2622,0,2.649,1.2622,2.9659,-0.1975,-0.5597,1.5269,Surperformance
Arnau Martinez,Girona,La Liga,19,Defender,17,16,1351,2,0.07,1.0,0.13,42.1,1.33,80.6,2.2,0.87,1.4,1.73,0.67,2.47,1.0,0.4,0.0,1573,7.588,0.3873,0.1176470588235294,0.5016,0.883,1.561,0.4504,0,0.5259,0.4504,0.4829,0.3897,0.323,0.4344,Normal
Emiliano Martínez,Aston Villa,Premier League,30,Goalkeeper,19,19,1654,0,0.0,0.0,0.0,26.2,0.11,74.3,0.0,0.05,0.0,0.0,0.0,0.16,0.0,0.16,0.0,1574,7.364,0.0,0.0,0.3695,0.9673,0.015,-1.1573,0,-0.469,-1.1573,-0.5103,-0.0907,-1.2863,0.7027,Normal
Iñigo Martínez,Athletic Club,La Liga,31,Defender,9,9,810,0,0.0,0.78,0.11,47.9,0.44,85.0,0.89,1.56,1.0,0.0,0.0,1.0,0.89,0.11,0.0,1575,7.42,0.0,0.0,0.3926,1.0,1.124,-0.8762,0,-0.2203,-0.8762,-0.5103,0.7252,-0.1319,0.4928,Normal
Lautaro Martínez,Inter,Serie A,25,Forward,21,19,1675,12,0.16,3.92,1.51,16.6,1.56,72.4,0.7,0.48,1.08,2.58,0.97,2.2,1.67,0.05,0.0,1576,8.571,0.376,0.5714285714285714,0.6486,0.8862,0.748,2.2395,1,4.892,2.2395,5.4489,-0.2356,-0.5233,2.6679,Surperformance
Lisandro Martínez,Manchester Utd,Premier League,25,Defender,20,18,1568,1,0.0,0.23,0.06,56.4,0.29,86.7,2.01,1.49,2.01,0.52,0.52,0.46,0.98,0.23,0.0,1577,7.522,1.0,0.05,0.6141,0.8711,1.854,1.8197,0,0.2328,1.8197,-0.0137,0.8549,0.628,0.7098,Normal
Lucas Martínez Quarta,Fiorentina,Serie A,26,Defender,15,13,1181,1,0.08,1.22,0.61,55.1,0.38,82.8,3.74,2.06,1.91,0.46,0.23,1.45,0.69,0.15,0.0,1578,7.512,0.5,0.0666666666666666,0.511,0.8748,2.687,0.5648,0,0.1883,0.5648,-0.0137,0.5575,1.4952,0.5639,Normal
Roger Martínez,Espanyol,La Liga,18,Defender,1,0,7,0,0.0,10.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579,7.5,0.0,0.0,0.425,0.0778,0.0,-0.4819,0,0.135,-0.4819,-0.5103,1.8691,-1.3019,0.8596,Normal
