fixture_id,team,player_id,player_name,position,grid,is_starter,match_importance,recent_form,result,performance_score,fatigue_index,defensive_impact,anomaly_z,rating,pass_accuracy,duels_won_pct,goals,assists,minutes,appearances,is_goalkeeper,is_defender,is_midfielder,is_forward
1029862,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0,0.5084745762711864,0.7333,W,0.4952,0.8517,23.5,1.454,7.153846,80.0,0.6029411764705882,0.0,0.0,1993.0,26.0,0,0,1,0
1029862,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0,0.5084745762711864,0.7333,W,0.5229,0.6467,2.9,1.5818,7.46,64.0,0.5555555555555556,1.0,1.0,291.0,5.0,0,0,1,0
1029862,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0,0.5084745762711864,0.7333,W,0.4853,0.5889,2.5,1.4084,7.266666,42.0,0.9166666666666666,0.0,0.0,159.0,3.0,0,0,1,0
1029862,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0,0.5084745762711864,0.7333,W,0.0,0.6244,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,281.0,5.0,0,0,1,0
1029862,Paris Saint Germain,51494.0,M. Ugarte,M,0-0,0,0.5084745762711864,0.7333,W,0.4162,0.86,53.4,1.0896,7.132,48.0,0.5313531353135313,0.0,2.0,1935.0,25.0,0,0,1,0
1029862,Paris Saint Germain,51494.0,M. Ugarte,M,0-0,0,0.5084745762711864,0.7333,W,0.2871,0.3444,2.8,0.4941,6.75,0.0,0.4230769230769231,0.0,0.0,124.0,4.0,0,0,1,0
1029862,Paris Saint Germain,51494.0,M. Ugarte,M,0-0,0,0.5084745762711864,0.7333,W,0.2574,0.5444,5.9,0.3571,6.425,0.0,0.3230769230769231,0.0,0.0,392.0,8.0,0,0,1,0
1029862,Paris Saint Germain,51494.0,M. Ugarte,M,0-0,0,0.5084745762711864,0.7333,W,0.0,0.5489,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,247.0,5.0,0,0,1,0
1029862,Toulouse,325346.0,G. Restes,G,1:1,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1029862,Toulouse,371916.0,C. Mawissa Elebi,D,2:4,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1029862,Toulouse,70476.0,M. Diarra,D,2:3,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1029862,Toulouse,15793.0,R. Nicolaisen,D,2:2,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1029862,Toulouse,11421.0,G. Suazo,D,2:1,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1029862,Toulouse,36868.0,S. Spierings,M,3:2,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1029862,Toulouse,50956.0,C. Cásseres,M,3:1,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1029862,Toulouse,39115.0,A. Dønnum,M,4:3,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1029862,Toulouse,163076.0,César Gelabert,M,4:2,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1029862,Toulouse,48491.0,V. Sierro,M,4:1,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1029862,Toulouse,93016.0,T. Dallinga,F,5:1,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
1029862,Toulouse,55319.0,N. Skyttä,M,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1029862,Toulouse,174724.0,F. Magri,F,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
1029862,Toulouse,264383.0,W. Kamanzi,D,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1029862,Toulouse,322929.0,I. Cissoko,F,0-0,0,0.5084745762711864,0.7333,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
